IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",numeric,SEAR,South-East Asia,Country,BGD,Bangladesh,Year,2014,true,,,,,,,,,,,,<,1,,,,,,<1,,,EN,2016-03-21T04:00:00.000Z
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",numeric,SEAR,South-East Asia,Country,PRK,Democratic People's Republic of Korea,Year,2014,true,,,,,,,,,,,,<,1,,,,,,<1,,,EN,2016-03-21T04:00:00.000Z
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",numeric,EMR,Eastern Mediterranean,Country,EGY,Egypt,Year,2014,true,,,,,,,,,,,,<,1,,,,,,<1,,,EN,2016-03-21T04:00:00.000Z
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",numeric,EMR,Eastern Mediterranean,Country,LBY,Libya,Year,2014,true,,,,,,,,,,,,<,1,,,,,,<1,,,EN,2016-03-21T04:00:00.000Z
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",numeric,AFR,Africa,Country,MRT,Mauritania,Year,2014,true,,,,,,,,,,,,<,1,,,,,,<1,,,EN,2016-03-21T04:00:00.000Z
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",numeric,EUR,Europe,Country,SRB,Serbia,Year,2014,true,,,,,,,,,,,,<,1,,,,,,<1,,,EN,2016-03-21T04:00:00.000Z
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2014,true,,,,,,,,,,,,<,1,,,,,,<1,,,EN,2016-03-21T04:00:00.000Z
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2014,true,,,,,,,,,,,,<,1,,,,,,<1,,,EN,2016-03-21T04:00:00.000Z
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",numeric,EUR,Europe,Country,ALB,Albania,Year,2014,true,,,,,,,,,,,,,1,,,,,,1,,,EN,2016-03-21T04:00:00.000Z
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2014,true,,,,,,,,,,,,,1,,,,,,1,,,EN,2016-03-21T04:00:00.000Z
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",numeric,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2014,true,,,,,,,,,,,,,1,,,,,,1,,,EN,2016-03-21T04:00:00.000Z
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",numeric,AFR,Africa,Country,TCD,Chad,Year,2014,true,,,,,,,,,,,,,1,,,,,,1,,,EN,2016-03-21T04:00:00.000Z
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",numeric,AFR,Africa,Country,GIN,Guinea,Year,2014,true,,,,,,,,,,,,,1,,,,,,1,,,EN,2016-03-21T04:00:00.000Z
HIV_0000000008,"Testing and counselling facilities, estimated number per 100 000 adult population",numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2014,true,,,,,,,,,,,,,1,,,,,,1,,,EN,2016-03-21T04:00:00.000Z
