IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2020,true,,,,,,,,,,,,,1900000,,,1400000,,2400000,"1,900,000 [1,400,000 – 2,400,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2020,true,,,,,,,,,,,,,2600000,,,2300000,,3000000,"2,600,000 [2,300,000 – 3,000,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2020,true,,,,,,,,,,,,,25400000,,,20700000,,30300000,"25,400,000 [20,700,000 – 30,300,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2020,true,,,,,,,,,,,,,3700000,,,2800000,,4400000,"3,700,000 [2,800,000 – 4,400,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2020,true,,,,,,,,,,,,,3700000,,,2800000,,4600000,"3,700,000 [2,800,000 – 4,600,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2020,true,,,,,,,,,,,,,37700000,,,30200000,,45100000,"37,700,000 [30,200,000 – 45,100,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2020,true,,,,,,,,,,,,,420000,,,370000,,550000,"420,000 [370,000 – 550,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2015,false,,,,,,,,,,,,,1600000,,,1100000,,2000000,"1,600,000 [1,100,000 – 2,000,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2015,false,,,,,,,,,,,,,2000000,,,1800000,,2300000,"2,000,000 [1,800,000 – 2,300,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2015,false,,,,,,,,,,,,,23600000,,,19300000,,28200000,"23,600,000 [19,300,000 – 28,200,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2015,false,,,,,,,,,,,,,3200000,,,2400000,,4000000,"3,200,000 [2,400,000 – 4,000,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2015,false,,,,,,,,,,,,,3800000,,,2900000,,4500000,"3,800,000 [2,900,000 – 4,500,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2015,false,,,,,,,,,,,,,320000,,,290000,,420000,"320,000 [290,000 – 420,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2015,false,,,,,,,,,,,,,34600000,,,27700000,,41400000,"34,600,000 [27,700,000 – 41,400,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2010,false,,,,,,,,,,,,,1300000,,,960000,,1700000,"1,300,000 [960,000 – 1,700,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2010,false,,,,,,,,,,,,,1500000,,,1300000,,1700000,"1,500,000 [1,300,000 – 1,700,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,AMR,Americas,Year,2010,false,,,,,,,,,,,,,2800000,,,2100000,,3500000,"2,800,000 [2,100,000 – 3,500,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2010,false,,,,,,,,,,,,,21200000,,,17300000,,25400000,"21,200,000 [17,300,000 – 25,400,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2010,false,,,,,,,,,,,,,250000,,,230000,,340000,"250,000 [230,000 – 340,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,GLOBAL,(WHO) Global,Year,2010,false,,,,,,,,,,,,,31100000,,,25000000,,37300000,"31,100,000 [25,000,000 – 37,300,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,SEAR,South-East Asia,Year,2010,false,,,,,,,,,,,,,4000000,,,3000000,,4800000,"4,000,000 [3,000,000 – 4,800,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,EUR,Europe,Year,2005,false,,,,,,,,,,,,,1100000,,,950000,,1200000,"1,100,000 [950,000 – 1,200,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,WPR,Western Pacific,Year,2005,false,,,,,,,,,,,,,1200000,,,830000,,1400000,"1,200,000 [830,000 – 1,400,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,EMR,Eastern Mediterranean,Year,2005,false,,,,,,,,,,,,,170000,,,150000,,220000,"170,000 [150,000 – 220,000]",,,EN,2021-07-12T04:00:00.000Z
HIV_0000000001,Estimated number of people (all ages) living with HIV,numeric,GLOBAL,(WHO) Global,WHO region,AFR,Africa,Year,2005,false,,,,,,,,,,,,,19400000,,,15800000,,23200000,"19,400,000 [15,800,000 – 23,200,000]",,,EN,2021-07-12T04:00:00.000Z
