IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,CPV,Cabo Verde,Year,2020,true,,,,,,,,,,,,>,98,,,89,,100,>98 [89 – 100],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,SWZ,Eswatini,Year,2020,true,,,,,,,,,,,,>,98,,,95,,100,>98 [95 – 100],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2020,true,,,,,,,,,,,,,12,,,12,,13,12 [12 – 13],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,MDG,Madagascar,Year,2020,true,,,,,,,,,,,,,14,,,11,,18,14 [11 – 18],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,MUS,Mauritius,Year,2020,true,,,,,,,,,,,,,21,,,18,,25,21 [18 – 25],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,SSD,South Sudan,Year,2020,true,,,,,,,,,,,,,23,,,18,,29,23 [18 – 29],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,COG,Congo,Year,2020,true,,,,,,,,,,,,,24,,,17,,36,24 [17 – 36],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,SDN,Sudan,Year,2020,true,,,,,,,,,,,,,25,,,22,,29,25 [22 – 29],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,SEAR,South-East Asia,Country,IDN,Indonesia,Year,2020,true,,,,,,,,,,,,,26,,,25,,28,26 [25 – 28],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2020,true,,,,,,,,,,,,,28,,,26,,29,28 [26 – 29],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,IRN,Iran (Islamic Republic of),Year,2020,true,,,,,,,,,,,,,29,,,21,,68,29 [21 – 68],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,DJI,Djibouti,Year,2020,true,,,,,,,,,,,,,30,,,22,,40,30 [22 – 40],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,GMB,Gambia,Year,2020,true,,,,,,,,,,,,,31,,,24,,40,31 [24 – 40],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,TUN,Tunisia,Year,2020,true,,,,,,,,,,,,,32,,,28,,37,32 [28 – 37],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,AGO,Angola,Year,2020,true,,,,,,,,,,,,,33,,,28,,39,33 [28 – 39],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,SYR,Syrian Arab Republic,Year,2020,true,,,,,,,,,,,,,34,,,28,,39,34 [28 – 39],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AMR,Americas,Country,SUR,Suriname,Year,2020,true,,,,,,,,,,,,,35,,,29,,44,35 [29 – 44],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,WPR,Western Pacific,Country,MNG,Mongolia,Year,2020,true,,,,,,,,,,,,,35,,,31,,38,35 [31 – 38],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,EMR,Eastern Mediterranean,Country,JOR,Jordan,Year,2020,true,,,,,,,,,,,,,37,,,34,,41,37 [34 – 41],,,EN,2021-10-11T04:00:00.000Z
HIV_ARTCOVERAGE,Estimated antiretroviral therapy coverage among people living with HIV (%),numeric,AFR,Africa,Country,GNQ,Equatorial Guinea,Year,2020,true,,,,,,,,,,,,,38,,,29,,52,38 [29 – 52],,,EN,2021-10-11T04:00:00.000Z
